reviewer_name,review_text,movie_name
Jonathan Romney,If this is a feel-good movie -- and by the end it certainly is -- then at least it challenges us to dig deep for those good feelings when everything inside those mausoleum walls is unrelievedly harsh and grey.,The Shawshank Redemption
Jay Boyar,"The Shawshank Redemption is both resigned and inspirational, grittily realistic and vaguely surreal, matter-of-fact and operatic. Somehow, these opposites are combined into a remarkably smooth and lyrical composition.",The Shawshank Redemption
Adam Mars-Jones,"The sad thing is that The Shawshank Redemption, a so-so film, would have made a terrific little movie. A pacier project would have given us less time to notice sentimentalities.",The Shawshank Redemption
Malcolm Johnson,"Next to Stand By Me, The Shawshank Redemption ranks as the strongest, purest film ever made from a novel or novella by Stephen King, a monster film where the horrors are frighteningly human.",The Shawshank Redemption
Yardena Arar,"It's Robbins and Freeman who carry the film, working around the most predictable moments with simple understatement.",The Shawshank Redemption
David Denby,"There's nothing going on in The Shawshank Redemption from shot to shot -- no expressive life, no spontaneity or feeling. It's a stunted movie.",The Shawshank Redemption
William Arnold,"The acting is so strong, so seductive in The Shawshank Redemption that you almost don't notice this epic prison drama isn't all that good.",The Shawshank Redemption
Manohla Dargis,"Darabont, making his debut as a director, is swamped by ambition. There is just too much here -- too much plot, too many particulars, too many prisoners vying for attention.",The Shawshank Redemption
Michael Medved,A hackneyed prison movie with acting so strong that it often seems more substantive than it is.,The Shawshank Redemption
Michael Wilmington,"The Shawshank Redemption may be working with stuff we've seen before, but it's surprisingly strong and engrossing. Even elitists in the audience who dismiss King as a shock schlockmeister may be amazed at this picture's narrative grip.",The Shawshank Redemption
Kenneth Turan,"Its message of hope and friendship comes premixed with a sizable dollop of unappetizing violence, intended to convince audiences that what they're watching isn't a big glob of cotton candy after all.",The Shawshank Redemption
Lea Saslav,"Darabont gets Robbins' most subtle and multi-layered performance to date. But the Oscar nomination will go to Freeman, who shows the majesty of sadness and how sweet redemption can be -- even when all hope is lost.",The Shawshank Redemption
Jeff Simon,"It's a movie with dignity and surprises and before it has finished, it has acquired a good deal of power.",The Shawshank Redemption
Lizzie Francke,"The towering Tim Robbins has a solidity and gentle interiority that occasionally reminds one here of Burt Lancaster. Of equal excellence is Morgan Freeman as Red, who holds the film together with his poetic, often quipping narration.",The Shawshank Redemption
Jack Mathews,"You've never seen a prison movie quite like it, and I found its eccentric rhythms and the performances of co-stars Tim Robbins and Morgan Freeman nearly irresistible.",The Shawshank Redemption
Gary Thompson,Even the most prosecutorial viewer will concede that Robbins and Freeman give The Shawshank Redemption a persuasive validity. They hold The Shawshank Redemption together as it gives way to story-driven melodrama.,The Shawshank Redemption
Desmond Ryan,"A work of sincerity and honorable purpose, with a first-class cast... [But] Darabont has not found a way to resolve the problems and improbabilities that tower higher than the walls of the maximum security prison.",The Shawshank Redemption
Jay Carr,Never will you be so glad of the voyeuristic nature of filmgoing. Because The Shawshank Redemption is as close to prison as you'll want to get. And Robbins and Freeman make what could have been an endurance test an utterly engrossing experience.,The Shawshank Redemption
Frank Bruni,"It's a blissfully old-fashioned melodrama spanning three decades, a classic tall tale that experiences some particularly incredible growth spurts toward the end but manages to endure them without alienating the viewer.",The Shawshank Redemption
Rene Rodriguez,"It's way too long, blatantly manipulative, and sentimental to a fault. Still, the lead performances by Tim Robbins and Morgan Freeman are heartfelt, impressively shaded pieces of work (Freeman in particular is a marvel).",The Shawshank Redemption
Wendy Ide,This magnificent multigenerational mafia drama represents a benchmark not just in crime movies but in American cinema as a whole.,The Godfather
Mark Johnson,"The Godfather works like a masterfully conducted orchestra, whose immaculate symphony is a meticulously crafted and extraordinarily integral thread in the fabric of cinema history.",The Godfather
Erick Estrada,... Villains and criminals that fulfill the American dream with complete disregard for the American way. A contradiction that engenders gods. [Full review in Spanish],The Godfather
Steven D. Greydanus,"Now half a century old, Francis Ford Coppola's revered New Hollywood masterpiece has one of the best-known final shots in film history - but it almost had a much more Catholic ending.",The Godfather
Matt Brunson,A cultural milestone.,The Godfather
Stephen Silver,"The Godfather is as much about America, and the American experience, as any other great movie is (50th anniversary)",The Godfather
Jason Bailey,Skepticism of American exceptionalism is far more commonplace now than it was when The Godfather was first released. But the fragility of the American Dream was revealing itself as the illusion it had always truly been.,The Godfather
Jake Cole,"The Godfather films have set home-video standards for decades, and that trend continues with Paramounts astonishing 4K restorations.",The Godfather
Michael Calleri,"50 years after its release on March 24, 1972, The Godfather is now and forever, one of the greats.",The Godfather
Victoria Luxford,"An engrossing metaphor for American capitalism, watching the film on the big screen emphasises the majesty of Coppolas work.",The Godfather
Tom Hutchinson,"It is a gangster film without any of the pity and hatred we might feel towards such aliens in our midst, because it recognises that in all of us there is the ignition towards power and criminality.",The Godfather
Brian Viner,The Godfather justifies every minute of its extravagant running time.,The Godfather
Dennis Harvey,"For all its graphic violence, the movie was—unlike the novel it was based on—no mere exercise in popcorn sensationalism; it was emotionally complex, tragic, melancholy, definitely for grownups.",The Godfather
Danny Leigh,"As the doomy burnish of Gordon Willis’s photography captures the darkened souls of the Corleones, the effect is flat-out mesmeric.",The Godfather
Richard Roeper,"The Godfather is the most memorable, most influential, most quoted, most beloved, most discussed, most imitated, most revered and most entertaining American movie ever made.",The Godfather
Brian Eggert,"Five decades later, The Godfather still resonates with the paradigm shifts from one generation to the next, still influences one filmmaker after another, and continues to be the foundation of a lasting mythology.",The Godfather
